type,decimal,bit_used,freq 
A,01,01,1
A,01,02,130
A,01,03,1
A,01,04,4230
A,01,05,64
A,01,06,133
A,01,11,2
A,01,13,546
A,01,14,5
A,01,15,1417
A,01,22,8
A,01,23,12
A,01,26,2930
A,01,50,2
A,01,51,1
A,01,52,14
A,01,54,24
A,01,55,618
A,01,56,5522
A,01,63,42190
A,02,02,2
A,02,03,2
A,02,04,588
A,02,05,7568
A,02,06,8965
A,02,08,2
A,02,11,1
A,02,12,2
A,02,14,12
A,02,15,5304
A,02,26,166
A,02,49,4
A,02,50,20
A,02,51,11
A,02,52,412
A,02,53,3319
A,02,54,13
A,02,55,21012
A,02,56,60622
A,02,63,5591
A,03,53,20
A,03,55,194
A,03,56,1970
A,03,63,261
A,04,26,40
A,04,47,3
A,04,53,71
A,04,55,7906
A,04,56,5
A,05,14,1
A,05,22,7
A,05,23,17
A,05,26,3449
A,06,14,1
A,06,22,2
A,06,23,4
A,06,26,287
B,01,01,9
B,01,02,6
B,01,03,9
B,01,04,11
B,01,05,4
B,01,06,6
B,01,11,3
B,01,12,3
B,01,13,3
B,01,14,4
B,01,15,1
B,01,22,1
B,01,50,2
B,01,51,1
B,01,52,2
B,01,53,1
B,01,54,1
B,01,62,1
B,01,63,4
B,02,01,7
B,02,02,3
B,02,03,11
B,02,04,31
B,02,05,22
B,02,06,1
B,02,08,3
B,02,12,1
B,02,14,2
B,02,15,3
B,02,45,1
B,02,48,2
B,02,49,4
B,02,50,3
B,02,51,5
B,02,52,7
B,02,53,6
B,02,54,2
B,02,55,6
B,02,56,2
B,02,63,1
B,03,56,2
B,04,47,1
B,04,53,1
B,04,54,1
B,04,55,2
B,04,56,3
B,05,14,1
B,05,23,1
B,06,22,1
B,06,26,1